name,link,profile_photo,department,descipline
Héléna Karjalainen,https://www.researchgate.netprofile/Helena-Karjalainen,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,HR & Organisation,"['International Business Management', 'Organizational Culture', 'Human Resource Management']"
Mathieu Brun,https://www.researchgate.netprofile/Mathieu-Brun,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,76,"['Information Technology', 'Information and Communication Technology', 'Information System Management']"
Sandra Bosse,https://www.researchgate.netprofile/Sandra-Bosse,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,International Logistics and Crisis Management,[]
Gaspard Pluvinage,https://www.researchgate.netprofile/Gaspard-Pluvinage,https://i1.rgstatic.net/ii/profile.image/1089657878118405-1636806091632_Q64/Gaspard-Pluvinage.jpg,EM Normandie Business School,['Periodicity']
Leo Garnier,https://www.researchgate.netprofile/Leo-Garnier,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Supply Chain,[]
Louis Rioult,https://www.researchgate.netprofile/Louis-Rioult,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['3D Printing', 'Product Development', 'Creativity and Innovation']"
Amira Eleuch,https://www.researchgate.netprofile/Amira-Eleuch,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
Terence Geffroy,https://www.researchgate.netprofile/Terence-Geffroy,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,[]
Clémentine Brisset,https://www.researchgate.netprofile/Clementine-Brisset,https://i1.rgstatic.net/ii/profile.image/693595556290561-1542377475518_Q64/Clementine-Brisset.jpg,EM Normandie Business School,"['Surface Water', 'Articles', 'Water Resources Management']"
Daria Kalinina,https://www.researchgate.netprofile/Daria-Kalinina-6,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,"['Light', 'Fertilizers', 'Polymerization']"
Julie Castellani,https://www.researchgate.netprofile/Julie-Castellani,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Finance,[]
Patrick Loux,https://www.researchgate.netprofile/Patrick-Loux,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Stratégie,['Academic Writing']
Laurence Helene,https://www.researchgate.netprofile/Laurence-Helene,https://i1.rgstatic.net/ii/profile.image/819712678187008-1572446140971_Q64/Laurence-Helene.jpg,EM Normandie Business School,"['Teaching and Learning', 'Pedagogy and Education', 'Learning']"
Regis Regnier-Vigouroux,https://www.researchgate.netprofile/Regis_Regnier-Vigouroux,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,HR & Organisation,[]
Naik Chirag,https://www.researchgate.netprofile/Naik-Chirag-2,https://i1.rgstatic.net/ii/profile.image/966202906116096-1607372132826_Q64/Naik-Chirag-2.jpg,Supply Chain Management & Decision Sciences,['Organic Synthesis']
Julia le gal,https://www.researchgate.netprofile/Julia-Le-Gal,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,seine maritime,"['Entrepreneurship', 'Business Development', 'Innovation Management']"
Tony de Vassoigne,https://www.researchgate.netprofile/Tony-De-Vassoigne,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Academic Writing', 'Communication', 'Quantitative Analysis']"
Clement Prou,https://www.researchgate.netprofile/Clement-Prou,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,[]
