title,link,authors,publication,article_year
Detection of cyberattacks in a water distribution system using machine learning techniques,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:t6usbXjVLHcC,"P Nader, P Honeine, P Beauseroy","2016 Sixth International Conference on Digital Information Processing and …, 2016",2016
Distributed regression in sensor networks with a reduced-order kernel model,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:2osOgNQ5qMEC,"P Honeine, M Essoloh, C Richard, H Snoussi","IEEE GLOBECOM 2008-2008 IEEE Global Telecommunications Conference, 1-5, 2008",2008
Correntropy-based robust multilayer extreme learning machines,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:Fu2w8maKXqMC,"C Liangjun, P Honeine, QU Hua, Z Jihong, S Xia","Pattern Recognition 84, 357-370, 2018",2018
Correntropy maximization via ADMM: Application to robust hyperspectral unmixing,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:V3AGJWp-ZtQC,"F Zhu, A Halimi, P Honeine, B Chen, N Zheng","IEEE Transactions on Geoscience and Remote Sensing 55 (9), 4944-4955, 2017",2017
Biobjective nonnegative matrix factorization: Linear versus kernel-based models,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:l7t_Zn2s7bgC,"F Zhu, P Honeine","IEEE Transactions on Geoscience and Remote Sensing 54 (7), 4012-4022, 2016",2016
Solving the pre-image problem in kernel machines: A direct method,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:qjMakFHDy7sC,"P Honeine, C Richard","2009 IEEE International Workshop on Machine Learning for Signal Processing, 1-6, 2009",2009
Kernel-based machine learning using radio-fingerprints for localization in wsns,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:fQNAKQ3IYiAC,"S Mahfouz, F Mourad-Chehade, P Honeine, J Farah, H Snoussi","IEEE Transactions on Aerospace and Electronic Systems 51 (2), 1324-1336, 2015",2015
Estimating the intrinsic dimension of hyperspectral images using a noise-whitened eigengap approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:738O_yMBCRsC,"A Halimi, P Honeine, M Kharouf, C Richard, JY Tourneret","IEEE Transactions on Geoscience and Remote Sensing 54 (7), 3811-3821, 2016",2016
Analyzing the expressive power of graph neural networks in a spectral perspective,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:q3CdL3IzO_QC,"M Balcilar, G Renton, P Héroux, B Gaüzère, S Adam, P Honeine","International Conference on Learning Representations, 2020",2020
Time-frequency learning machines,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:UeHWp8X0CEIC,"P Honeine, C Richard, P Flandrin","IEEE Transactions on Signal Processing 55 (7), 3930-3936, 2007",2007
Bridging the gap between spectral and spatial domains in graph neural networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:vbGhcppDl1QC,"M Balcilar, G Renton, P Héroux, B Gauzere, S Adam, P Honeine","arXiv preprint arXiv:2003.11702, 2020",2020
Kernel nonnegative matrix factorization without the pre-image problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:nb7KW1ujOQ8C,"F Zhu, P Honeine, M Kallas","2014 IEEE International Workshop on Machine Learning for Signal Processing …, 2014",2014
Kernel autoregressive models using Yule–Walker equations,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:RYcK_YlVTxYC,"M Kallas, P Honeine, C Francis, H Amoud","Signal Processing 93 (11), 3053-3061, 2013",2013
Multiclass classification machines with the complexity of a single binary classifier,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:mVmsd5A6BfQC,"P Honeine, Z Noumir, C Richard","Signal Processing 93 (5), 1013-1026, 2013",2013
On simple one-class classification methods,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:ZeXyd9-uunAC,"Z Noumir, P Honeine, C Richard","2012 IEEE International Symposium on Information Theory Proceedings, 2022-2026, 2012",2012
Nonlinear unmixing of hyperspectral images based on multi-kernel learning,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:ldfaerwXgEUC,"J Chen, C Richard, P Honeine","Proc. IEEE Workshop on Hyperspectral Image and Signal Processing: Evolution …, 2012",2012
Nonlinear Adaptive Filtering using Kernel-based Algorithms with Dictionary Adaptation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:b0M2c_1WBrUC,"C Saidé, R Lengellé, P Honeine, C Richard, R Achkar","International Journal of Adaptive Control and Signal Processing, 2014",2014
Tracking of mobile sensors using belief functions in indoor wireless networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:VL0QpB8kHFEC,"D Alshamaa, F Mourad-Chehade, P Honeine","IEEE Sensors Journal 18 (1), 310-319, 2017",2017
Mahalanobis-based one-class classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:uWQEDVKXjbEC,"P Nader, P Honeine, P Beauseroy","2014 IEEE International Workshop on Machine Learning for Signal Processing …, 2014",2014
Kernel-based localization using fingerprinting in wireless sensor networks,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:SeFeTyx0c_EC,"S Mahfouz, F Mourad-Chehade, P Honeine, H Snoussi, J Farah","2013 IEEE 14th Workshop on Signal Processing Advances in Wireless …, 2013",2013
Statistical hypothesis testing with time-frequency surrogates to check signal stationarity,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:Y0pCki6q_DkC,"C Richard, A Ferrari, H Amoud, P Honeine, P Flandrin, P Borgnat","2010 IEEE International Conference on Acoustics, Speech and Signal …, 2010",2010
A hierarchical classification method using belief functions,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:ZuybSZzF8UAC,"D Alshamaa, FM Chehade, P Honeine","Signal Processing 148, 68-77, 2018",2018
PCA and KPCA of ECG signals with binary SVM classification,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:ULOm3_A8WrAC,"L Kanaan, D Merheb, M Kallas, C Francis, H Amoud, P Honeine","2011 IEEE Workshop on Signal Processing Systems (SiPS), 344-348, 2011",2011
Optimal selection of time-frequency representations for signal classification: A kernel-target alignment approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yxk7n1kAAAAJ&pagesize=100&citation_for_view=yxk7n1kAAAAJ:zYLM7Y9cAGgC,"P Honeiné, C Richard, P Flandrin, JB Pothin","2006 IEEE International Conference on Acoustics Speech and Signal Processing …, 2006",2006
